#Name RA DEC Maj
G296.5+10.0 182.41 -52.41 90.0
G298.6-00.0 183.42 -62.61 12.0
G299.2-02.9 183.8 -65.5 18.0
G299.6-00.5 185.43 -63.15 13.0
G306.3-00.9 200.45 -63.56 4.0
G308.1-00.7 204.4 -63.06 13.0
G308.4-01.4 280.37 -63.73 12.0
G310.6-01.6 210.18 -63.43 2.5
G310.6-00.3 209.5 -62.15 8.0
G315.1+02.7 216.12 -57.83 190.0
G315.9-00.0 219.6 -60.18 25.0
G321.9-01.1 230.93 -58.21 28.0
G322.1+00.0 230.2 -57.16 8.0
G322.5-00.1 230.84 -57.1 15.0
G327.2-00.1 237.72 -54.3 5.0
G327.4+01.0 236.7 -53.33 14.0
G327.6+14.6 225.7 -41.93 30.0
G330.0+15.0 227.5 -40.0 180.0
G332.5-05.6 250.83 -54.5 35.0
G337.2-00.7 249.86 -47.85 6.0
G337.2+00.1 248.97 -47.33 3.0
G340.4+00.4 251.62 -44.65 10.0
G342.1+00.9 252.67 -43.06 10.0
G343.0-06.0 261.25 -46.5 250.0
G348.5-00.0 258.85 -38.46 10.0
G350.1-00.3 259.41 -37.4 4.0
G351.9-00.9 262.21 -36.26 12.0
G353.6-00.7 263.0 -34.73 30.0
G353.9-02.0 264.72 -35.18 13.0
G354.1+00.1 262.61 -33.76 15.0
G354.8-00.8 264.0 -33.7 19.0
G355.4+00.7 262.83 -32.43 25.0
G355.6-00.0 263.81 -32.63 8.0
G356.3-01.5 265.64 -32.86 20.0
G356.3-00.3 264.48 -32.26 11.0
G358.0+03.8 261.5 -28.6 38.0
G358.5-00.9 266.54 -30.66 17.0
G359.1+00.9 264.9 -29.18 12.0
