#PyBDSMID	IN_GREEN?	IN_MOSTSNRCAT?   IN_A_Green?   IN_JACOBS?  IN_MGPS_compact?    IN_PALADINI?
283 N N N N N N
284 N N N N N N
285 N N N N N N
286 N N N N N N
287 N N N N N N
288 N N N N N N
289 N N N N N N
290 N N N N N N
291 N N N N N N
292 N N N N N N
293 N N N N N N
294 N N N N N N
295 N N N N N N
296 N N N N N N
297 N N N N N N
298 N N N N N N
299 N N N N N N
300 Y N N N N Y
301 N N N N N N
302 N N N N N Y
303 Y N N N N Y
304 Y N N N N Y
305 Y N N N N Y
306 Y N N N N N
307 N N N N N N
308 N N N N N Y
309 Y N N N N Y
310 Y N N N N Y
311 Y N N N N N
312 N N N N N Y
313 Y N N N N N
314 N N N N N Y
315 Y N N N N N
316 Y N N N N Y
317 N N N N N N
318 Y N N N Y N
319 N N N N Y N
320 N N N N Y N
321 N N N N Y N
322 N N N N Y N
323 N N N Y Y N
324 N N N N N Y
325 N N N N Y N
326 Y Y N N Y Y
327 N N N N Y N
328 N Y N N Y Y
329 Y Y N N Y Y
330 N N N N Y N
331 Y N N N Y N
332 N N N N Y Y
333 N N N N Y N
334 N N N N Y N
335 N N N N Y N
336 N N N N Y Y
337 N N N N Y N
338 N N N N Y N
339 N N N N Y N
340 N N N N Y N
341 N N N N Y N
342 N N N N Y N
343 N N N N Y N
344 N N N N Y N
345 N N N N N N
346 N N N N Y N
347 N N N Y Y N
348 N N N N Y N
349 N N N N Y N
350 N N N N Y N
351 N N N N Y N
352 N N N N Y N
353 N N N N Y N
354 N N Y N Y N
355 N N N N Y N
356 N N N N Y N
357 N Y N N Y N
358 N N N N Y N
359 N N N N Y N
360 N N N N Y N
361 N N N N Y N
362 N N N N Y N
363 N N N N Y Y
364 N N N N Y N
365 N N N N Y Y
366 N N N N Y N
367 N N N Y Y N
368 N N N N Y N
369 N N N N Y Y
370 N N Y N Y N
371 N N N N Y N
372 N N N N Y N
373 N N N N Y N
374 Y Y N N Y N
375 Y Y N N Y N
376 N N N N Y N
377 N N N N Y N
378 N N N N Y N
379 N N N N Y N
380 N N N N Y N
381 N N N N Y N
382 N N N N Y N
383 N N N N Y N
384 Y Y N N Y Y
385 N N N N Y N
386 N N N N Y N
387 N N N N Y N
388 N N N N Y N
389 N N N N Y N
390 N N N N Y N
391 N N N N Y N
392 N N N N Y N
393 N N N N Y N
394 N N N Y Y N
395 N N N N Y N
396 N N N N Y N
397 N N N N N N
398 N N N N N N
399 N N N Y Y N
400 N N N N N Y
401 N N N Y N N
402 N N N Y N N
403 N N N Y N N
404 N N N N N N
405 N N N N N N
406 N N N N N N
407 N N N N N N
408 N N N N N N
409 N N N N N N
410 N N N N N N
411 N N N N N N
412 N N N N N N
413 N N N N N N
414 N N N N N N
415 N N N N N N
416 N N N N N N
417 N N N N N N
418 N N N N N N
419 N N N N Y N
420 N N N N Y N
421 N N N N Y Y
422 N N N N Y Y
423 N N N N Y Y
423 N N N N Y Y
424 N N N N N N
424 N N N N N N
425 N N N N N Y
426 N N N N N Y
427 N N N N N Y
428 N N N N Y Y
429 N N N N Y Y
430 N N N N Y N
431 Y N N N Y Y
432 N Y N N Y Y
433 Y Y N N Y Y
434 Y Y N N Y N
435 N N N N Y Y
436 N N N N N N
437 N N N N N N
438 N N N N N N
439 N N N N N N
440 Y N N N Y N
441 N N N N Y N
442 N N N N N N
443 N N N N N N
