#ID RA DEC Maj EMaj Flux EFlux
0 284.61804 3.6976281 0.672353564489 0.170970236598 18.0946320183 2.16617047283
1 284.56203 1.6397713 0.604550219327 0.136676602546 14.9008371587 2.35191496953
8 283.98456 1.2619998 0.500106813462 0.0311950017428 44.9020905473 2.48867976118
9 278.54695 -8.842184 0.383724395309 0.0439479399169 13.6847516352 2.69438474573
16 278.20753 -10.212726 0.304921552241 0.0141771224047 22.7042662655 2.70771263272
18 277.26165 -12.987048 0.463232467934 0.0632313154179 22.1608079682 2.44427068421
19 275.92598 -12.436563 0.334904051888 0.0215795568005 20.677200965 2.69890212868
20 276.17208 -13.225183 0.335712729358 0.0676220300467 6.65770077247 2.69827702236
32 274.63219 -13.779578 0.403252230216 0.062766607546 14.6078189459 2.57047895027
33 275.1221 -16.211941 0.369073702725 0.0450452188261 12.2339995806 2.6982684722
42 273.5135 -17.271714 0.472484266386 0.0780341074739 15.4327107647 2.53486531855
46 269.60945 -16.321951 0.355724859086 0.0524247946296 10.029761946 2.6915430287
49 272.80624 -19.444209 0.36481817032 0.0348862868184 13.3751936942 2.74682838428
52 271.36996 -21.517528 0.60060804014 0.0548974859254 54.2729697603 2.1135376627
53 266.77821 -19.3979 0.352456972226 0.0629695046765 9.40691239156 2.65532984826
61 274.27712 -24.118418 0.305776976498 0.0427713120948 7.59933775311 2.7077811814
67 270.30677 -23.395414 0.375725475295 0.00846994818615 54.0505497495 4.86128870206
75 269.96514 -23.337643 0.247535866693 0.00583851593923 28.9145682711 2.66685589226
78 269.85446 -23.666869 0.620001343797 0.0681366784101 40.5207461078 3.42314993648
79 268.11066 -22.554008 0.335269324887 0.0583762341055 8.79773342097 2.66943804803
80 271.04048 -24.449446 0.500667404949 0.0946220421644 14.2691485398 2.50407107031
89 269.26221 -24.107541 0.489768834195 0.0918462668355 12.1436979213 2.57433935634
92 275.73979 -27.471375 0.318535635372 0.0612689303733 5.89491807023 2.71208560149
99 262.61735 -21.525717 0.267818669954 0.0118255168241 16.0026791267 2.6842705433
103 270.78029 -27.82203 0.281579754629 0.021582946878 10.7839041297 2.69931305177
107 266.5223 -29.068026 1.84246850853 0.0312076600249 516.945152094 12.3709049933
108 264.60208 -30.68796 0.473805854483 0.121616692568 8.80720889825 2.58112935161
111 265.04814 -30.990847 0.214240816392 0.00420536135042 21.604238798 2.56531589595
113 258.20838 -28.185706 0.274127891706 0.0226291863007 9.70852083507 2.69044630843
116 269.93388 -34.857325 0.283358395855 0.0409128382363 6.14211932142 2.69912325312
123 259.72839 -29.742359 0.362854158851 0.0708743363823 9.43317836724 2.63244365027
125 266.43813 -33.780521 0.310920825397 0.0328790895553 11.719356326 2.69534951915
126 263.08887 -32.727897 1.35159300593 0.211735790465 74.5927190423 1.32708351129
131 262.41185 -34.446 0.328239550162 0.0375820839033 11.6925625638 2.69356368356
132 268.16945 -37.90837 0.45166781855 0.0862589364521 10.6548403638 2.6263188184
133 266.95138 -37.449963 0.315252649708 0.0581539154995 5.81412420798 2.71902119168
141 261.90958 -35.212869 0.339378460987 0.0632436729752 8.16986040151 2.67391522949
144 256.39671 -32.350648 0.34367659608 0.049249694867 10.0305626301 2.69003299097
149 260.6435 -36.162517 0.358287121024 0.0596604001947 8.46927456091 2.70527311324
150 261.70648 -38.42626 0.699066665215 0.111953926322 32.0229289327 2.08942501027
152 259.47763 -37.482193 0.246417955825 0.0138263805127 11.1880317932 2.65149831444
153 259.25687 -38.091635 0.363462912061 0.0469381730286 11.7641799798 2.68931424437
154 259.28212 -38.513503 0.35244766394 0.0666878845808 8.13608382269 2.67917549234
166 258.63459 -38.572008 0.245121902637 0.00363615196348 40.8182546724 2.64559645667
167 258.53874 -38.245842 0.27565459512 0.00904174055938 22.4879921153 2.69855110707
168 256.61669 -37.36526 0.330881819801 0.0644811813379 7.64579298935 2.67341799517
170 259.39774 -39.861206 0.342547384753 0.0712376095511 7.75855468037 2.66043762543
174 259.6011 -40.245178 0.508553318249 0.172886258589 9.28336674856 2.43044543863
176 258.55106 -39.835945 2.11230066563 0.266742078092 169.329694828 0.826247144335
179 257.81328 -39.169298 0.320310039341 0.066294497001 5.8547760491 2.70385621474
180 257.36945 -40.26091 0.400276822191 0.0481399346076 60.362229942 3.08019587315
181 256.59073 -40.940645 0.445853705189 0.094927547296 9.84492647393 2.61284968193
184 254.26436 -40.43067 0.55787405652 0.120206791743 14.9261256342 2.40335608884
187 254.78094 -40.283277 0.332133966324 0.0639521222754 7.75230314674 2.67378134701
188 249.87088 -38.503632 0.349020139528 0.060130859631 8.79206017513 2.68166747316
189 256.88557 -44.343496 1.1938565551 0.158619741362 82.7756872595 1.39369786352
191 255.14595 -43.291625 0.376952330241 0.0481634526845 14.5835346339 2.63724248271
192 253.72201 -43.947076 0.413822892732 0.0753759785961 8.38564654347 2.73374188748
199 249.21136 -41.056425 0.335440467785 0.0581972739174 8.04649998817 2.69056854751
202 246.91618 -39.917737 0.335446634476 0.0557824107267 8.50773235101 2.68909033008
203 251.7973 -44.683183 0.305557319626 0.0302683412046 11.2227723879 2.70336083374
204 252.17397 -45.255572 0.420166671787 0.0645897561785 15.2879742273 2.56460208609
212 246.74499 -42.22753 0.364695402197 0.0569954987536 10.6886827445 2.66498296967
