#ID RA DEC Maj EMaj Flux EFlux
14 284.61804 3.6976281 0.672353564489 0.170970236598 18.0946320183 2.16617047283
22 284.56203 1.6397713 0.604550219327 0.136676602546 14.9008371587 2.35191496953
28 283.98456 1.2619998 0.500106813462 0.0311950017428 44.9020905473 2.48867976118
34 278.54695 -8.842184 0.383724395309 0.0439479399169 13.6847516352 2.69438474573
37 278.20753 -10.212726 0.304921552241 0.0141771224047 22.7042662655 2.70771263272
71 277.26165 -12.987048 0.463232467934 0.0632313154179 22.1608079682 2.44427068421
94 275.92598 -12.436563 0.334904051888 0.0215795568005 20.677200965 2.69890212868
121 276.17208 -13.225183 0.335712729358 0.0676220300467 6.65770077247 2.69827702236
162 274.63219 -13.779578 0.403252230216 0.062766607546 14.6078189459 2.57047895027
183 275.1221 -16.211941 0.369073702725 0.0450452188261 12.2339995806 2.6982684722
196 273.5135 -17.271714 0.472484266386 0.0780341074739 15.4327107647 2.53486531855
217 269.60945 -16.321951 0.355724859086 0.0524247946296 10.029761946 2.6915430287
219 272.80624 -19.444209 0.36481817032 0.0348862868184 13.3751936942 2.74682838428
220 271.36996 -21.517528 0.60060804014 0.0548974859254 54.2729697603 2.1135376627
